"Date","ProductID","ProductName","Category","QuantitySold","PricePerUnit","TotalSales"
"2022-01-28","P189","Product_8","Beauty","11","484.73","5332.03"
"2022-03-19","P159","Product_9","Electronics","12","433.16","5197.92"
"2022-08-07","P199","Product_11","Sports","6","431.59","2589.54"
"2023-08-03","P195","Product_13","Clothing","6","189.92","1139.52"
"2023-03-10","P190","Product_12","Clothing","9","477.63","4298.67"
"2021-02-06","P178","Product_9","Home & Kitchen","16","376.98","6031.68"
"2023-02-16","P181","Product_9","Electronics","15","183.31","2749.65"
"2023-10-01","P167","Product_16","Home & Kitchen","1","445.53","445.53"
"2023-03-10","P144","Product_17","Electronics","4","12.02","48.08"
"2023-02-20","P178","Product_16","Beauty","2","290.08","580.16"
"2021-11-12","P128","Product_20","Electronics","15","264.88","3973.2"
"2022-10-18","P151","Product_11","Clothing","7","50.08","350.56"
"2022-02-27","P195","Product_14","Home & Kitchen","4","432.55","1730.2"
"2023-10-17","P117","Product_4","Sports","5","148.04","740.2"
"2022-09-24","P176","Product_1","Home & Kitchen","6","194.41","1166.46"
"2021-02-26","P146","Product_1","Electronics","9","242.83","2185.47"
"2021-02-03","P197","Product_10","Clothing","19","410.3","7795.7"
"2022-10-06","P165","Product_8","Clothing","10","301.52","3015.2"
"2023-05-14","P165","Product_7","Home & Kitchen","4","286.34","1145.36"
"2021-05-14","P120","Product_20","Beauty","3","187.57","562.71"
"2022-03-09","P163","Product_18","Beauty","10","147.05","1470.5"
"2021-02-09","P109","Product_5","Home & Kitchen","14","244.28","3419.92"
"2021-02-15","P126","Product_6","Beauty","18","135.31","2435.58"
"2023-02-05","P163","Product_4","Home & Kitchen","18","176.36","3174.48"
"2023-11-21","P146","Product_16","Electronics","11","225.78","2483.58"
"2022-08-29","P160","Product_17","Home & Kitchen","9","423.32","3809.88"
"2023-04-09","P195","Product_11","Electronics","14","465.95","6523.3"
"2022-06-28","P176","Product_14","Sports","11","416.57","4582.27"
"2023-05-04","P153","Product_20","Beauty","7","267.59","1873.13"
"2023-01-03","P132","Product_12","Home & Kitchen","11","358.66","3945.26"
"2023-03-25","P122","Product_12","Electronics","4","174.25","697"
"2022-11-23","P194","Product_12","Home & Kitchen","16","235.01","3760.16"
"2023-05-14","P100","Product_16","Electronics","19","470.84","8945.96"
"2023-12-29","P183","Product_15","Home & Kitchen","3","183.92","551.76"
"2023-01-08","P162","Product_10","Sports","5","94.76","473.8"
"2023-06-18","P133","Product_12","Electronics","11","241.33","2654.63"
"2021-10-15","P105","Product_2","Electronics","8","329.77","2638.16"
"2023-07-02","P109","Product_14","Sports","19","71.99","1367.81"
"2021-02-08","P176","Product_1","Clothing","13","69.83","907.79"
"2023-08-02","P183","Product_2","Electronics","12","158.81","1905.72"
"2022-07-07","P193","Product_17","Home & Kitchen","13","454.75","5911.75"
"2021-11-23","P104","Product_11","Sports","18","340.56","6130.08"
"2022-04-24","P144","Product_7","Sports","6","118.75","712.5"
"2022-10-31","P171","Product_18","Beauty","8","305.71","2445.68"
"2021-04-14","P161","Product_17","Home & Kitchen","5","333.52","1667.6"
"2021-12-07","P155","Product_5","Clothing","11","266.3","2929.3"
"2021-06-01","P173","Product_14","Beauty","19","382.1","7259.9"
"2021-09-14","P181","Product_13","Beauty","1","22.12","22.12"
"2023-07-31","P162","Product_5","Electronics","12","103.65","1243.8"
"2022-12-05","P199","Product_13","Clothing","10","483.52","4835.2"
"2023-09-04","P115","Product_10","Home & Kitchen","19","253.89","4823.91"
"2021-07-19","P125","Product_5","Electronics","14","47.49","664.86"
"2023-02-12","P184","Product_5","Home & Kitchen","19","161.01","3059.19"
"2022-05-06","P106","Product_7","Clothing","13","10.87","141.31"
"2022-11-15","P147","Product_5","Beauty","10","293.91","2939.1"
"2023-12-16","P149","Product_20","Home & Kitchen","9","499.74","4497.66"
"2021-08-29","P133","Product_7","Clothing","2","299.15","598.3"
"2023-01-30","P144","Product_13","Electronics","18","308.94","5560.92"
"2022-01-28","P167","Product_20","Home & Kitchen","18","170.59","3070.62"
"2023-02-03","P176","Product_18","Clothing","16","126.15","2018.4"
"2022-06-14","P143","Product_17","Beauty","17","259","4403"
"2023-03-27","P117","Product_1","Clothing","18","450.9","8116.2"
"2021-12-15","P142","Product_4","Sports","8","14.78","118.24"
"2021-03-11","P119","Product_9","Beauty","17","289.13","4915.21"
"2022-07-15","P115","Product_16","Beauty","6","219.97","1319.82"
"2023-03-05","P193","Product_14","Clothing","10","314.38","3143.8"
